route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible                                                                                                                                                                                                                                                
7180161307GL026,2024-11-052024-12-07001651,0016512024-11-05,,00165,,,,1                                                                                                                                                                                                                                                                                       
7180161200GL026,2024-11-052024-12-07001653,0016532024-11-05,,00165,,,,2                                                                                                                                                                                                                                                                                       
1700037606GL023,2024-10-092024-10-31001901,0019012024-10-09,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2024-10-092024-10-31001902,0019022024-10-09,,00190,,,,2                                                                                                                                                                                                                                                                                       
1700037606GL023,2024-10-092024-10-31001903,0019032024-10-09,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2024-10-092024-10-31001904,0019042024-10-09,,00190,,,,2                                                                                                                                                                                                                                                                                       
3760617000GL023,2024-10-092024-10-31001931,0019312024-10-09,,00193,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2024-10-092024-10-31001932,0019322024-10-09,,00193,,,,2                                                                                                                                                                                                                                                                                       
1700037606GL023,2024-10-092024-10-31001941,0019412024-10-09,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2024-10-092024-10-31001942,0019422024-10-09,,00194,,,,2                                                                                                                                                                                                                                                                                       
3760617000GL023,2024-10-092024-10-31001971,0019712024-10-09,,00197,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2024-10-092024-10-31001972,0019722024-10-09,,00197,,,,2                                                                                                                                                                                                                                                                                       
3760617000GL023,2024-10-092024-10-31001991,0019912024-10-09,,00199,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2024-10-092024-10-31001992,0019922024-10-09,,00199,,,,2                                                                                                                                                                                                                                                                                       
6130771801GL026,2024-11-052024-12-07002641,0026412024-11-05,,00264,,,,1                                                                                                                                                                                                                                                                                       
6120071801GL026,2024-11-052024-12-07002643,0026432024-11-05,,00264,,,,2                                                                                                                                                                                                                                                                                       
1700056312GL026,2024-10-092024-10-31002761,0027612024-10-09,,00276,,,,1                                                                                                                                                                                                                                                                                       
1700056312GL026,2024-11-012024-12-07002761,0027612024-11-01,,00276,,,,1                                                                                                                                                                                                                                                                                       
1700056312GL026,2024-12-082024-12-14002761,0027612024-12-08,,00276,,,,1                                                                                                                                                                                                                                                                                       
1700050300GL026,2024-10-092024-10-31002762,0027622024-10-09,,00276,,,,2                                                                                                                                                                                                                                                                                       
1700050300GL026,2024-11-012024-12-07002762,0027622024-11-01,,00276,,,,2                                                                                                                                                                                                                                                                                       
1700050300GL026,2024-12-082024-12-14002762,0027622024-12-08,,00276,,,,2                                                                                                                                                                                                                                                                                       
5631217000GL026,2024-10-092024-10-31002771,0027712024-10-09,,00277,,,,1                                                                                                                                                                                                                                                                                       
5631217000GL026,2024-11-012024-12-07002771,0027712024-11-01,,00277,,,,1                                                                                                                                                                                                                                                                                       
5631217000GL026,2024-12-082024-12-14002771,0027712024-12-08,,00277,,,,1                                                                                                                                                                                                                                                                                       
5030017000GL026,2024-10-092024-10-31002772,0027722024-10-09,,00277,,,,2                                                                                                                                                                                                                                                                                       
5030017000GL026,2024-11-012024-12-07002772,0027722024-11-01,,00277,,,,2                                                                                                                                                                                                                                                                                       
5030017000GL026,2024-12-082024-12-14002772,0027722024-12-08,,00277,,,,2                                                                                                                                                                                                                                                                                       
